month,heating,water,total
1,732.2432361896477,186.0,918.2432361896477
2,648.1884297520661,174.0,822.1884297520661
3,511.90413223140496,186.0,697.9041322314049
4,257.7818181818182,180.0,437.7818181818182
5,67.92396694214877,186.0,253.92396694214875
6,0.0,180.0,180.0
7,0.0,186.0,186.0
8,0.0,186.0,186.0
9,31.67603305785124,180.0,211.67603305785124
10,229.03140495867768,186.0,415.0314049586777
11,465.02479338842977,180.0,645.0247933884298
12,666.8826446280992,186.0,852.8826446280992
