Production,Hour,Month,Day,TotalConsumption,ChargingPower,BatteryEnergy,GridBalance,FromGrid,FeedIn,SelfConsumption,Revenue
0.0,0,1,1,1.2101312460608438,0.0,0.0,-1.2101312460608438,1.2101312460608438,0.0,0.0,0.0
0.0,1,1,1,1.1794169603465676,0.0,0.0,-1.1794169603465676,1.1794169603465676,0.0,0.0,0.0
0.0,2,1,1,1.183566620210507,0.0,0.0,-1.183566620210507,1.183566620210507,0.0,0.0,0.0
0.0,3,1,1,1.1980224025234203,0.0,0.0,-1.1980224025234203,1.1980224025234203,0.0,0.0,0.0
0.0,4,1,1,1.2584985929996195,0.0,0.0,-1.2584985929996195,1.2584985929996195,0.0,0.0,0.0
0.0,5,1,1,1.3937301731590757,0.0,0.0,-1.3937301731590757,1.3937301731590757,0.0,0.0,0.0
-0.0,6,1,1,1.4487336526513674,0.0,0.0,-1.4487336526513674,1.4487336526513674,0.0,0.0,0.0
0.0,7,1,1,1.3673270138833127,0.0,0.0,-1.3673270138833127,1.3673270138833127,0.0,0.0,0.0
0.0,8,1,1,1.405554587160053,0.0,0.0,-1.405554587160053,1.405554587160053,0.0,0.0,0.0
0.0,9,1,1,1.4406406116474186,0.0,0.0,-1.4406406116474186,1.4406406116474186,0.0,0.0,0.0
0.9837786416982792,10,1,1,1.4668266940332053,0.0,0.0,-0.4830480523349261,0.4830480523349261,0.0,0.9837786416982792,0.3148091653434494
2.1011807351675964,11,1,1,2.8980170479488727,0.0,0.0,-0.7968363127812763,0.7968363127812763,0.0,2.1011807351675964,0.6723778352536308
8.520045816737628,12,1,1,2.863003685916632,5.657042130820996,5.600471709512786,0.0,-0.0,0.0,2.863003685916632,0.9161611794933222
5.68086140996214,13,1,1,2.8930889257136707,2.1005336267547614,7.68,0.6872388574937078,-0.0,0.6872388574937078,2.8930889257136707,0.9815235275711144
2.277902541913781,14,1,1,2.924295502237012,-0.6399290307199985,7.0336070396767685,-0.006463929603232277,0.006463929603232277,0.0,2.9178315726337796,0.9337061032428094
2.565352109755327,15,1,1,1.443652240159554,0.652922182144678,7.68,0.46877768745109494,-0.0,0.46877768745109494,1.443652240159554,0.4999865873033411
0.0,16,1,1,1.5758463840954333,-1.560087920254479,6.104153615904567,-0.01575846384095425,0.01575846384095425,0.0,1.560087920254479,0.4992281344814333
0.0,17,1,1,1.7611279616941056,-1.7435166820771646,4.343025654210461,-0.017611279616940978,0.017611279616940978,0.0,1.7435166820771646,0.5579253382646927
0.0,18,1,1,1.7330251300147985,-1.7156948787146504,2.6100005241956623,-0.017330251300148092,0.017330251300148092,0.0,1.7156948787146504,0.5490223611886882
0.0,19,1,1,1.6250099512762677,-1.6087598517635049,0.9849905729193946,-0.016250099512762795,0.016250099512762795,0.0,1.6087598517635049,0.5148031525643215
0.0,20,1,1,1.5317780452933323,-0.9751406671902006,0.0,-0.5566373781031316,0.5566373781031316,0.0,0.9751406671902006,0.3120450135008642
0.0,21,1,1,1.3750867144020482,-0.0,0.0,-1.3750867144020482,1.3750867144020482,0.0,0.0,0.0
0.0,22,1,1,1.3093489331356682,-0.0,0.0,-1.3093489331356682,1.3093489331356682,0.0,0.0,0.0
0.0,23,1,1,1.2693149195302311,-0.0,0.0,-1.2693149195302311,1.2693149195302311,0.0,0.0,0.0
0.0,0,1,2,1.2544983621982948,-0.0,0.0,-1.2544983621982948,1.2544983621982948,0.0,0.0,0.0
0.0,1,1,2,1.2237840764840187,-0.0,0.0,-1.2237840764840187,1.2237840764840187,0.0,0.0,0.0
0.0,2,1,2,1.227933736347958,-0.0,0.0,-1.227933736347958,1.227933736347958,0.0,0.0,0.0
0.0,3,1,2,1.2423895186608713,-0.0,0.0,-1.2423895186608713,1.2423895186608713,0.0,0.0,0.0
0.0,4,1,2,1.3028657091370706,-0.0,0.0,-1.3028657091370706,1.3028657091370706,0.0,0.0,0.0
-0.0,5,1,2,1.4380972892965267,-0.0,0.0,-1.4380972892965267,1.4380972892965267,0.0,0.0,0.0
0.0,6,1,2,1.4931007687888185,-0.0,0.0,-1.4931007687888185,1.4931007687888185,0.0,0.0,0.0
0.0,7,1,2,1.4116941300207637,-0.0,0.0,-1.4116941300207637,1.4116941300207637,0.0,0.0,0.0
0.0,8,1,2,1.449921703297504,-0.0,0.0,-1.449921703297504,1.449921703297504,0.0,0.0,0.0
0.06194353802164834,9,1,2,1.4850077277848697,-0.0,0.0,-1.4230641897632212,1.4230641897632212,0.0,0.061943538021648425,0.019821932166927497
0.8718779380911086,10,1,2,1.5111938101706563,-0.0,0.0,-0.6393158720795478,0.6393158720795478,0.0,0.8718779380911086,0.2790009401891548
1.7625950254786493,11,1,2,2.9423841640863238,-0.0,0.0,-1.1797891386076744,1.1797891386076744,0.0,1.7625950254786493,0.5640304081531679
2.4486976958237587,12,1,2,2.907370802054083,-0.0,0.0,-0.4586731062303242,0.4586731062303242,0.0,2.4486976958237587,0.7835832626636028
6.566531096103729,13,1,2,2.9374560418511217,3.629075054252607,3.592784303710081,0.0,-0.0,0.0,2.9374560418511217,0.939985933392359
6.459656281327745,14,1,2,2.968662618374463,3.490993662953282,7.04886803003383,0.0,-0.0,0.0,2.968662618374463,0.9499720378798281
1.1771240427698155,15,1,2,1.488019356297005,-0.3077863603919176,6.737972716506641,-0.0031089531352718747,0.0031089531352718747,0.0,1.484910403161733,0.4751713290117546
0.0,16,1,2,1.6202135002328844,-1.6040113652305554,5.117759216273757,-0.01620213500232892,0.01620213500232892,0.0,1.6040113652305554,0.5132836368737778
