month,heating,water,total
2024-05,0,156,156
2024-06,1.5,159,159
2024-07,0,210,210
2024-08,0,192,192
2024-09,7.5,155,162.5
2024-10,98.2,154,252.2
2024-11,347,178,525
2024-12,509,195,704
2025-01,591,185,776
2025-02,458,161,619
2025-03,246,144,391
2025-04,61.4,164,225
2025-05,0,169,169
2025-06,0,198,198
2025-07,0,169,169
2025-08,0,153,153
2025-09,4.7,139,143
2025-10,67.7,157,224
2025-11,213,171,384
2025-12,345,195,540
