"Time","Tages-Durchschnittstemperatur"
1735603200000,1.3
1735689600000,3.3244444444444445
1735776000000,2.0544
1735862400000,1.763636363636364
1735948800000,0.6405172413793102
1736035200000,4.953763440860219
1736121600000,9.881683168316833
1736208000000,4.059627329192546
1736294400000,1.7485714285714287
1736380800000,-0.007142857142857157
1736467200000,0.9311764705882354
1736553600000,-0.19375
1736640000000,2.1370967741935485
1736726400000,-0.6020057306590257
1736812800000,-1.8472118959107817
1736899200000,0.8963855421686747
1736985600000,0.6302083333333333
1737072000000,-0.5706293706293706
1737158400000,0.715695067264574
1737244800000,2.734441087613293
1737331200000,-1.7437500000000001
1737417600000,1.5003968253968256
1737504000000,0.4274809160305343
1737590400000,2.8714285714285706
1737676800000,6.480740740740739
1737763200000,8.917567567567565
1737849600000,4.13426966292135
1737936000000,8.14666666666667
1738022400000,7.894170403587443
1738108800000,6.645604395604398
1738195200000,5.43360655737705
1738281600000,4.769169960474308
1738368000000,3.6684210526315795
1738454400000,2.5984802431610943
1738540800000,3.8041775456919065
1738627200000,-1.1721518987341772
1738713600000,0.595
1738800000000,2.8916666666666666
1738886400000,1.9506329113924052
1738972800000,5.1392592592592585
1739059200000,3.1086206896551727
1739145600000,1.8530201342281878
1739232000000,3.432
1739318400000,6.471374045801526
1739404800000,0.8826530612244895
1739491200000,-0.14210526315789485
1739577600000,-0.2945578231292518
1739664000000,2.5768595041322304
1739750400000,2.5406392694063937
1739836800000,0.019889502762430136
1739923200000,1.0282945736434108
1740009600000,6.289723320158102
1740096000000,10.72393162393162
1740182400000,9.898305084745761
1740268800000,13.291252955082742
1740355200000,9.674285714285716
1740441600000,9.941379310344828
1740528000000,7.807172995780592
1740614400000,9.46876574307305
1740700800000,4.76064814814815
1740787200000,3.4934782608695656
1740873600000,8.993812375249504
1740960000000,10.031027253668759
1741046400000,9.467728237791931
1741132800000,12.240954274353884
1741219200000,14.619183673469385
1741305600000,14.54736842105263
1741392000000,14.055895196506553
1741478400000,15.371215351812365
1741564800000,15.708836206896551
1741651200000,7.083333333333335
1741737600000,4.559798994974876
1741824000000,4.9749103942652315
1741910400000,6.370711297071129
1741996800000,12.06206088992975
1742083200000,11.03245778611632
1742169600000,7.829268292682927
1742256000000,7.674669603524227
1742342400000,11.917446808510638
1742428800000,16.186390532544383
1742515200000,16.076142131979704
1742601600000,15.464032697547674
1742688000000,12.400843881856536
1742774400000,18.378435517970402
1742860800000,13.123624595469257
1742947200000,9.183422459893048
1743033600000,14.708458646616544
1743120000000,16.470178926441353
1743206400000,15.517796610169492
1743292800000,10.60344827586207
1743379200000,12.269408740359902
1743465600000,11.828571428571426
1743552000000,14.483603238866406
1743638400000,16.926593406593412
1743724800000,19.83384321223709
1743811200000,18.67528517110266
1743897600000,10.608778625954198
1743984000000,11.84188679245283
1744070400000,15.57313974591651
1744156800000,16.413806706114396
1744243200000,10.418217054263566
1744329600000,16.589552238805965
1744416000000,18.335912698412706
1744502400000,14.523853211009172
1744588800000,18.013698630136982
1744675200000,16.51016949152542
1744761600000,11.385294117647062
1744848000000,8.950000000000003
1744934400000,9.929914529914528
1745020800000,15.652390852390848
1745107200000,18.509441233140652
1745193600000,14.196984924623113
1745280000000,15.563278688524582
1745366400000,12.87407407407408
1745452800000,10.390740740740739
1745539200000,14.996774193548383
1745625600000,17.676908396946565
1745712000000,19.350909090909084
1745798400000,20.564097363083167
1745884800000,21.457197696737037
1745971200000,23.618929254302106
1746057600000,24.520889748549312
1746144000000,24.94185567010309
1746230400000,20.671679197994987
1746316800000,12.273239436619717
1746403200000,13.584358974358981
1746489600000,16.624646464646467
1746576000000,16.260328638497647
1746662400000,16.363653136531365
1746748800000,17.58346007604563
1746835200000,19.37504553734061
1746921600000,20.648431372549013
1747008000000,21.29525547445255
1747094400000,21.651933701657455
1747180800000,21.769863013698636
1747267200000,19.624760076775434
1747353600000,19.3463465553236
1747440000000,18.12185039370079
1747526400000,15.249085365853661
1747612800000,20.759165154264966
1747699200000,22.486587436332748
1747785600000,20.518749999999994
1747872000000,15.99458239277653
1747958400000,13.86686507936508
1748044800000,11.722058823529412
1748131200000,17.11888544891641
1748217600000,17.66162280701755
1748304000000,15.887378640776696
1748390400000,17.9978021978022
1748476800000,15.832411067193675
1748563200000,24.295296523517383
1748649600000,24.850000000000005
1748736000000,20.401538461538458
1748822400000,20.31319444444445
1748908800000,21.281670061099803
1748995200000,20.47677725118483
1749081600000,16.589130434782618
1749168000000,19.301415094339628
1749254400000,16.51027190332326
1749340800000,15.189866666666662
1749427200000,17.59826302729529
1749513600000,19.630967741935482
1749600000000,20.483896620278333
1749686400000,22.828666666666663
1749772800000,27.52018561484919
1749859200000,28.097018348623852
1749945600000,20.145961002785516
1750032000000,23.702191235059757
1750118400000,25.48652631578948
1750204800000,25.63498759305211
1750291200000,25.44716553287981
1750377600000,24.560754716981133
1750464000000,26.498106060606062
1750550400000,28.298734177215195
1750636800000,22.193617021276587
1750723200000,22.68167539267016
1750809600000,28.94698275862068
1750896000000,22.552816901408455
1750982400000,22.602479338842976
1751068800000,27.87708779443254
1751155200000,29.500816326530604
1751241600000,29.452783505154635
1751328000000,31.876294820717142
1751414400000,32.61494661921708
1751500800000,25.14629213483146
1751587200000,25.39508840864438
1751673600000,25.076598286537372
1751760000000,16.68004892219759
1751846400000,17.208803554079427
1751932800000,17.105979479490404
1752019200000,17.891121948242187
1752105600000,20.82620334421902
1752192000000,20.923993699896215
1752278400000,21.724663571630206
1752364800000,21.91263927399427
1752451200000,20.18613466966984
